Comment,Designator,Footprint,Quantity,JLCPCB Part #
SRV05-4,U4,SOT-23-6-routable,1,C85364
D_Small,"D3,D28,D27,D2,D35,D24,D9,D4,D33,D12,D7,D13,D6,D8,D22,D23,D29,D18,D16,D5,D32,D10,D1,D25,D19,D15,D20,D30,D31,D11,D14,D17,D21,D34,D26",D_SOD-123,35,C81598 
5.1k,"R1,R3,R9",R_0603_1608Metric,3,C23186
MX_SW_HS,"SW6,SW1,SW9,SW16,SW26,SW5,SW10,SW24,SW23,SW13,SW43,SW11,SW2,SW27,SW25,SW12,SW7,SW19,SW22,SW3,SW18,SW28,SW8,SW14,SW20,SW15,SW4,SW42,SW41,SW17",SW_MX_HS_1u,30,C2803348 
100n,"C11,C4,C10,C13,C8,C12,C9,C14,C7",C_0402_1005Metric,9,C1525
500mA,F1,Fuse_1206_3216Metric,1,C70077
-10k,R4,R_0603_1608Metric,1,
XC6206PxxxMR,U1,SOT-23,1,C5446 
1k,"R8,R5",R_0402_1005Metric,2,C11702
1u,"C17,C18",C_0402_1005Metric,2,C52923
10u,"C15,C2,C1",C_0402_1005Metric,3,C15525
USB_C_Receptacle_USB2.0,J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,C165948 
RP2040TR7,U3,QFN40P700X700X90-57N,1,C2040 
MX_SW_HS,"SW39,SW45",SW_MX_HS_1.25u,2,C2803348 
MX_SW_HS,"SW40,SW44",SW_MX_HS_1.75u,2,C2803348 
MX_SW_HS,"SW21,SW29",SW_MX_HS_1.5u,2,C2803348 
22,"R7,R6",R_0402_1005Metric,2,C25092
SW_SPST,"SWR1,SWR2",SW_SPST_TL3342,2,C318884 
30p,"C5,C6",C_0402_1005Metric,2,C277479
W25Q128JVS,U2,SOIC-8_5.23x5.23mm_P1.27mm,1,C97521
Crystal_GND24_Small,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,C9002 
